Customer_ID,Name,Age,Gender,City,Ticket_Type,Payment_Method,Travel_Frequency,Start_Station,End_Station,Ticket_Price,Travel_Date,Metro Line,Latitude,Longitude
CUST1000,Nicholas Johnson,60,Male,Nagpur,Return,Credit Card,Weekly,Ramwadi,PMC,22,25-04-2023,Aqua Line,18.5583,73.9076
CUST1016,Frances Mills,20,Female,Nashik,Return,Cash,Weekly,Vanaz,Ramwadi,30,04-05-2023,Aqua Line,18.5005,73.8077
CUST1001,Deanna Small,35,Male,Mumbai,Monthly Pass,Cash,Weekly,Mangalwar Peth,PCMC,24,16-04-2022,Aqua Line,18.5282,73.8623
CUST1007,Joshua Bauer,21,Female,Nagpur,Monthly Pass,Cash,Daily,Mangalwar Peth,Bund Garden,12,17-01-2023,Aqua Line,18.5282,73.8623
CUST1026,Katherine Jones,51,Female,Aurangabad,Monthly Pass,Cash,Occasionally,Mangalwar Peth,Shivaji Nagar,10,25-09-2023,Aqua Line,18.5282,73.8623
CUST1005,Melissa Hogan,60,Female,Nashik,Single,UPI,Daily,Anand Nagar,District Court,20,25-05-2024,Aqua Line,18.4956,73.8139
CUST1018,Brianna Morris,45,Female,Pune,Single,UPI,Occasionally,Anand Nagar,Mangalwar Peth,22,05-03-2023,Aqua Line,18.4956,73.8139
CUST1002,John Dunlap,36,Female,Pune,Single,Credit Card,Daily,Kasba Peth,Yerwada,14,11-12-2023,Purple Line,18.52162948,73.85949608
CUST1006,Mike Roberts,54,Male,Nagpur,Monthly Pass,Credit Card,Daily,Ideal Colony,District Court,18,15-06-2024,Aqua Line,18.4942,73.8203
CUST1003,Benjamin Thompson,36,Female,Nashik,Monthly Pass,UPI,Weekly,Dapodi,Bund Garden,20,17-09-2023,Purple Line,18.5783,73.8381
CUST1008,Caitlin Martin,19,Female,Mumbai,Return,Net Banking,Daily,Dapodi,Vanaz,16,26-08-2022,Purple Line,18.5783,73.8381
CUST1017,Emily Freeman,45,Female,Nagpur,Monthly Pass,Cash,Occasionally,Dapodi,Bopodi,10,20-02-2023,Purple Line,18.5783,73.8381
CUST1012,Richard Bean,27,Male,Pune,Return,Cash,Weekly,Nal Stop,Shivaji Nagar,14,06-08-2022,Aqua Line,18.5083,73.8296
CUST1004,Sydney Ortiz,19,Male,Mumbai,Monthly Pass,Net Banking,Occasionally,PCMC,Bopodi,18,03-08-2024,Purple Line,18.62910766,73.80377477
CUST1011,William Hernandez,21,Male,Mumbai,Monthly Pass,Credit Card,Occasionally,PCMC,Vanaz,10,21-06-2022,Purple Line,18.62910766,73.80377477
CUST1023,Jill Brewer,26,Male,Pune,Monthly Pass,Credit Card,Weekly,PCMC,Ramwadi,30,31-03-2023,Purple Line,18.62910766,73.80377477
CUST1014,Kimberly Luna,20,Female,Nashik,Single,Cash,Weekly,PMC,Garware College,12,14-11-2024,Aqua Line,18.5169,73.8535
CUST1009,Wendy Ramirez,43,Female,Nagpur,Single,Credit Card,Occasionally,Bund Garden,Mangalwar Peth,12,27-08-2023,Aqua Line,18.5371,73.8842
CUST1010,James Johnson,20,Male,Pune,Return,Cash,Daily,Bund Garden,Sant Tukaram Nagar,28,16-03-2022,Aqua Line,18.5371,73.8842
CUST1025,Duane Sanchez,61,Male,Mumbai,Return,Credit Card,Occasionally,Ruby Hall Clinic,Garware College,20,07-10-2023,Aqua Line,18.5341,73.8795
CUST1013,Dale Lane,55,Male,Mumbai,Single,Net Banking,Daily,Shivaji Nagar,Vanaz,20,10-09-2023,Purple Line,18.5308,73.8524
CUST1024,Kenneth Johnston,54,Male,Mumbai,Return,Cash,Weekly,Shivaji Nagar,Anand Nagar,18,10-12-2024,Purple Line,18.5308,73.8524
CUST1020,Daniel Waters,33,Female,Nagpur,Monthly Pass,UPI,Weekly,Kalyani Nagar,Mangalwar Peth,16,20-08-2022,Aqua Line,18.5515,73.9001
CUST1015,Natalie Zamora,53,Male,Aurangabad,Monthly Pass,UPI,Daily,Swargate,Bund Garden,10,05-06-2024,Purple Line,18.5018,73.8586
CUST1019,Dr. Matthew White,33,Male,Pune,Monthly Pass,UPI,Daily,Swargate,Ramwadi,14,13-04-2024,Purple Line,18.5018,73.8586
CUST1027,Lauren Garcia,46,Female,Aurangabad,Single,Credit Card,Weekly,Sant Tukaram Nagar,Bhosari,10,01-06-2024,Purple Line,18.627,73.8075
CUST1022,Tammy Forbes,37,Male,Mumbai,Monthly Pass,Cash,Occasionally,Bhosari,Mandai,22,01-12-2023,Purple Line,18.6188,73.8136
CUST1021,Jessica Perez,61,Male,Aurangabad,Single,Net Banking,Weekly,Bopodi,Garware College,10,05-07-2023,Purple Line,18.5645,73.8456
CUST1028,Christina Richards,29,Female,Mumbai,Return,Cash,Occasionally,Vanaz,Bopodi,18,16-05-2023,Aqua Line,18.5005,73.8077
CUST1029,Mr. Eugene Schneider DDS,22,Female,Aurangabad,Return,Credit Card,Occasionally,Swargate,Anand Nagar,26,16-08-2023,Purple Line,18.5018,73.8586
CUST1030,David Strong,63,Male,Nashik,Return,Net Banking,Weekly,PMC,Anand Nagar,18,02-12-2022,Aqua Line,18.5169,73.8535
CUST1031,Nancy Fox,54,Female,Aurangabad,Single,Cash,Weekly,District Court,Chhatrapati Sambhaji Udyan,10,06-09-2024,Interchange Station,18.5204,73.8567
CUST1032,Randall Perez,22,Male,Nagpur,Single,UPI,Daily,Bhosari,Kalyani Nagar,30,24-12-2022,Purple Line,18.6188,73.8136
CUST1033,Alison Sanchez MD,31,Male,Nagpur,Monthly Pass,UPI,Occasionally,District Court,Ruby Hall Clinic,12,04-05-2022,Interchange Station,18.5204,73.8567
CUST1034,Nicholas Green,62,Female,Aurangabad,Monthly Pass,Net Banking,Daily,PCMC,Ideal Colony,10,17-03-2022,Purple Line,18.62910766,73.80377477
CUST1035,Julie Adkins,34,Male,Mumbai,Return,UPI,Occasionally,Yerwada,PCMC,30,23-12-2022,Aqua Line,18.5486,73.8925
CUST1036,Sharon Fletcher,59,Male,Nagpur,Single,Credit Card,Occasionally,Ramwadi,Mangalwar Peth,18,15-08-2024,Aqua Line,18.5583,73.9076
